ID,Paper,Conference,Year,Type1,Type2,Type3,Type4,C1_ReduceTime,C2_Paths,C3_NewAudience,C4_CurrentPracticeAndInfrastructure,C5_ReplicationCreativity,T1_Examples,T1_Replication,T1_CaseStudy,T1_DesignSpace,T1_HowTo,T2_Usability,T2_AB,T2_Walkthrough,T2_Observation,T2_Homework,T2_Likert,T2_Interview,T3_ThresholdBench,T3_Comparison,T4_Checklist,T4_Discussion,T4_Study
1,Context Toolkit,CHI,1999,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,DENIM,CHI,2000,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
3,"Providing integrated toolkit-level support for ambiguity in recognition-based interfaces
",CHI,2000,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,SATIN,UIST,2000,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,Phidgets,UIST,2001,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
6,Speakeasy,UIST,2002,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,iStuff,CHI,2003,1,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,MAUI Groupware,CSCW,2003,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
9,DiamondSpin,CHI,2004,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,Papier-Mache,CHI,2004,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0
11,Calder,DIS,2004,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12,ICON,ICMI ,2004,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,Toolkit design for interactive structured graphics,IEEE Transactions on Software Engineering,2004,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
14,DART,UIST,2004,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,MaggLite Post-WIMP Toolkit,UIST,2004,1,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
16,Peripheral Displays Toolkit,UIST,2004,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,Prefuse,CHI,2005,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
18,subArtic,CHI,2005,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19,D.Tools (2),UIST,2006,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0
20,Swing States,UIST,2006,1,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
21,Exemplar,CHI,2007,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
22,CapToolkit,PerCom,2007,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
23,ReacTIVision,TEI,2007,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,Shared Phidgets,TEI,2007,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
25,VoodooIO,TEI,2007,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26,Gummy,AVI,2008,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0
27,Damask,CHI,2008,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
28,VoodooSketch,TEI,2008,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,GT/SD,EICS,2009,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,PyMT,ITS/ISS,2009,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31,Protovis,TCVG,2009,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
32,Sikuli,UIST,2009,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0
33,Intuino,DIS,2010,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
